,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,price,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,description,unclaimed_listing,user_review
14,15,Ombra,ChIJKX45pEHzT0YRolv9y1Tjjog,0x464ff341a4397e29:0x888ee354cbfd5ba2,9840052189190249378,https://serpapi.com/search.json?data_id=0x464ff341a4397e29%3A0x888ee354cbfd5ba2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff341a4397e29%3A0x888ee354cbfd5ba2&engine=google_maps_photos&hl=sv,"{'latitude': 57.697309499999996, 'longitude': 11.9486703}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff341a4397e29%3A0x888ee354cbfd5ba2%218m2%213d57.697309499999996%214d11.9486703&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,4.4,322.0,$$,Italiensk restaurang,"Plantagegatan 11, 413 05 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–23', 'lördag': '14–23', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 788 30 55,https://ristoranteombra.gastrogate.com/,"{'servering': True, 'hämtning_utanför': True, 'kontaktfri_leverans': True}",https://lh5.googleusercontent.com/p/AF1QipOi0oXm1m1paBWqrMx9f3fXuLoa_QE0ZvyZ0ciu=w122-h92-k-no,,,
15,16,John Scott’s Palace,ChIJCTJX9GTzT0YRronG9AkJMSk,0x464ff364f4573209:0x29310909f4c689ae,2968163567779875246,https://serpapi.com/search.json?data_id=0x464ff364f4573209%3A0x29310909f4c689ae&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff364f4573209%3A0x29310909f4c689ae&engine=google_maps_photos&hl=sv,"{'latitude': 57.707041, 'longitude': 11.9699306}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff364f4573209%3A0x29310909f4c689ae%218m2%213d57.707041%214d11.9699306&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,3.7,1452.0,$$,Bryggeripub,"Södra Hamngatan 2, 411 06 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '11:30–23', 'fredag': '11:30–03', 'lördag': '12–03', 'söndag': '12–18', 'måndag': '11:30–21', 'tisdag': '11:30–21', 'onsdag': '11:30–22'}",+46 31 80 75 50,http://johnscotts.se/palace/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNTBel7Y0Go9NC_DQS_ZNmxd0sKFlOfjaV-tU7P=w80-h106-k-no,,,
16,17,Ankarsmedjan Social,ChIJ22q4mKSNT0YRMWRSuomhzbE,0x464f8da498b86adb:0xb1cda189ba526431,12812074127847482417,https://serpapi.com/search.json?data_id=0x464f8da498b86adb%3A0xb1cda189ba526431&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8da498b86adb%3A0xb1cda189ba526431&engine=google_maps_photos&hl=sv,"{'latitude': 57.691301599999996, 'longitude': 11.9114664}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8da498b86adb%3A0xb1cda189ba526431%218m2%213d57.691301599999996%214d11.9114664&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,4.5,19.0,,Restaurang,"Klippan 30, 414 51 Göteborg, Sverige",,,,+46 31 20 20 20,http://ankarsmedjansocial.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNmnpbI1_gW2NmiHIPbNfzC1h5hHxBS3Z2UAXhx=w130-h92-k-no,,,
17,18,Pivo - Passion för vilt,ChIJsc9yZ3HzT0YRZVtOgBMZ8sA,0x464ff3716772cfb1:0xc0f21913804e5b65,13903202571193834341,https://serpapi.com/search.json?data_id=0x464ff3716772cfb1%3A0xc0f21913804e5b65&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3716772cfb1%3A0xc0f21913804e5b65&engine=google_maps_photos&hl=sv,"{'latitude': 57.696922699999995, 'longitude': 11.9766912}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3716772cfb1%3A0xc0f21913804e5b65%218m2%213d57.696922699999995%214d11.9766912&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,4.4,585.0,$$,"Kötträtter, restaurang","9B, Arkivgatan 9, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 18 22 39,http://pivo.nu/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipM1RYtIAu2amwEwtrn6FrQvKyXYjMykZIXw2gmS=w92-h92-k-no,,,
18,19,Hedlunds Havsbar,ChIJ9eCEiGXzT0YRomlBUrHjetI,0x464ff3658884e0f5:0xd27ae3b1524169a2,15166685045852301730,https://serpapi.com/search.json?data_id=0x464ff3658884e0f5%3A0xd27ae3b1524169a2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3658884e0f5%3A0xd27ae3b1524169a2&engine=google_maps_photos&hl=sv,"{'latitude': 57.7033067, 'longitude': 11.9677145}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3658884e0f5%3A0xd27ae3b1524169a2%218m2%213d57.7033067%214d11.9677145&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,4.5,251.0,,Fisk- och skaldjursrestaurang,"Kungstorget 13, 411 17 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 10,Stängt ⋅ Öppnar fre kl. 10,"{'torsdag': '10–21', 'fredag': '10–21', 'lördag': '10–17', 'söndag': 'Stängt', 'måndag': '11:30–14:30', 'tisdag': '10–21', 'onsdag': '10–21'}",+46 31 13 13 02,http://www.hedlundshavsbar.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPlr1lZrXzYc-r_2MioYEyHVTO4VlyJQjiMbXCk=w80-h106-k-no,,,
19,20,Kizuna Asian Eatery - Sushi Göteborg,ChIJt-Lhrl3zT0YRN6g0zLJGoA8,0x464ff35daee1e2b7:0xfa046b2cc34a837,1125977640586750007,https://serpapi.com/search.json?data_id=0x464ff35daee1e2b7%3A0xfa046b2cc34a837&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff35daee1e2b7%3A0xfa046b2cc34a837&engine=google_maps_photos&hl=sv,"{'latitude': 57.693366399999995, 'longitude': 11.976953799999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff35daee1e2b7%3A0xfa046b2cc34a837%218m2%213d57.693366399999995%214d11.976953799999999&engine=google_maps&google_domain=google.se&hl=sv&start=100&type=place,4.7,74.0,,Asiatisk restaurang,"Gibraltargatan 8, 411 32 Göteborg, Sverige",Stänger snart ⋅ 22 ⋅ Öppnar kl. 11 på fre,Stänger snart ⋅ 22 ⋅ Öppnar kl. 11 på fre,"{'torsdag': '11–22', 'fredag': '11–23', 'lördag': '12–23', 'söndag': '12–22', 'måndag': 'Stängt', 'tisdag': '11–22', 'onsdag': '11–22'}",+46 31 23 33 33,https://kizunaeatery.se/,"{'servering': True, 'hämtning_utanför': True}",https://lh5.googleusercontent.com/p/AF1QipN1qKIqPWJ5BwwdXsECoPpZDjOc5Qizy6f6Ra1D=w123-h92-k-no,,,
0,2,Spice Room,ChIJiyfd6z7zT0YRmp6GpuknYDs,0x464ff33eebdd278b:0x3b6027e9a6869e9a,4278463530476674714,https://serpapi.com/search.json?data_id=0x464ff33eebdd278b%3A0x3b6027e9a6869e9a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff33eebdd278b%3A0x3b6027e9a6869e9a&engine=google_maps_photos&hl=sv,"{'latitude': 57.7047348, 'longitude': 11.9620643}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff33eebdd278b%3A0x3b6027e9a6869e9a%218m2%213d57.7047348%214d11.9620643&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.5,55.0,,Modern indisk restaurang,"Magasinsgatan 8, 411 18 Göteborg, Sverige",Stänger snart ⋅ 22 ⋅ Öppnar kl. 16 på fre,Stänger snart ⋅ 22 ⋅ Öppnar kl. 16 på fre,"{'torsdag': '17–22', 'fredag': '16–23', 'lördag': '16–23', 'söndag': '16–22', 'måndag': 'Stängt', 'tisdag': '17–22', 'onsdag': '17–22'}",+46 31 61 04 40,http://spiceroom.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipOlHPjneeSOPfORwiEq3qIEXgjJUjjBXUw3CvM=w122-h92-k-no,,,
1,3,Restaurang Sjöporten,ChIJV5NGkrSMT0YRQQ6YYWwkRts,0x464f8cb492469357:0xdb46246c61980e41,15800356390588386881,https://serpapi.com/search.json?data_id=0x464f8cb492469357%3A0xdb46246c61980e41&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8cb492469357%3A0xdb46246c61980e41&engine=google_maps_photos&hl=sv,"{'latitude': 57.7009973, 'longitude': 11.9153021}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8cb492469357%3A0xdb46246c61980e41%218m2%213d57.7009973%214d11.9153021&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,3.8,610.0,$$,Restaurang,"Sjöporten 5, 417 64 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '09:30–00', 'fredag': '09–00:30', 'lördag': '10:30–00', 'söndag': '11–22:30', 'måndag': '09:30–23:30', 'tisdag': '09:30–23:30', 'onsdag': '09:30–00'}",+46 31 65 88 10,https://sjoporten5.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPoAepALZhyGWuZGLW8Ez8Rvvxw8W4yznLCfvYv=w122-h92-k-no,,,
2,4,Bar Normal,ChIJufq5tUHzT0YRCp5W1XtqTnk,0x464ff341b5b9fab9:0x794e6a7bd5569e0a,8741041006865456650,https://serpapi.com/search.json?data_id=0x464ff341b5b9fab9%3A0x794e6a7bd5569e0a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff341b5b9fab9%3A0x794e6a7bd5569e0a&engine=google_maps_photos&hl=sv,"{'latitude': 57.6964256, 'longitude': 11.9500003}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff341b5b9fab9%3A0x794e6a7bd5569e0a%218m2%213d57.6964256%214d11.9500003&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.2,221.0,$$,Bistro,"Prinsgatan 3, 413 05 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–23', 'lördag': '14–23', 'söndag': '17–23', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 73 410 07 40,http://barnormal.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNyH-b2TwVgxwLKDVoMqL-pXvQeSuox1Xgo_pRS=w80-h106-k-no,,,
3,5,Cyrano Majorna,ChIJ4ej24TTzT0YRLl5htsgNXWQ,0x464ff334e1f6e8e1:0x645d0dc8b6615e2e,7231951732331339310,https://serpapi.com/search.json?data_id=0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e&engine=google_maps_photos&hl=sv,"{'latitude': 57.6933991, 'longitude': 11.9180125}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff334e1f6e8e1%3A0x645d0dc8b6615e2e%218m2%213d57.6933991%214d11.9180125&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.0,409.0,$$,Fransk restaurang,"Karl Johansgatan 61, 414 55 Göteborg, Sverige",Stänger snart ⋅ 22 ⋅ Öppnar kl. 11 på fre,Stänger snart ⋅ 22 ⋅ Öppnar kl. 11 på fre,"{'torsdag': '11–22', 'fredag': '11–23', 'lördag': '12–23', 'söndag': '12–21', 'måndag': '11–22', 'tisdag': '11–22', 'onsdag': '11–22'}",+46 31 12 81 00,https://cyrano.se/Restaurant/Detail?Url=cyrano-majorna#mainmenucategory,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNsIuoghYz0TvIdqHbpkeME3VZSIQtnX3MJtHdi=w138-h92-k-no,,,
4,6,Restaurang MVG,ChIJ_-I9bILzT0YRwY6G2LHayTc,0x464ff3826c3de2ff:0x37c9dab1d8868ec1,4019984599781641921,https://serpapi.com/search.json?data_id=0x464ff3826c3de2ff%3A0x37c9dab1d8868ec1&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3826c3de2ff%3A0x37c9dab1d8868ec1&engine=google_maps_photos&hl=sv,"{'latitude': 57.7046893, 'longitude': 11.993188499999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3826c3de2ff%3A0x37c9dab1d8868ec1%218m2%213d57.7046893%214d11.993188499999999&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.0,162.0,$$,Lunchrestaurang,"Gårdatorget 1, 412 50 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 11,Stängt ⋅ Öppnar fre kl. 11,"{'torsdag': '11–14', 'fredag': '11–14', 'lördag': 'Stängt', 'söndag': 'Stängt', 'måndag': '11–14', 'tisdag': '11–14', 'onsdag': '11–14'}",+46 31 40 22 19,,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipP2VfgNupIaUNYImJkbMQk2jQnTkEdk9ZocPGx7=w163-h92-k-no,,,
5,7,Lisebergs Wärdshus,ChIJS1jlzJ3zT0YRkzCIbyYiLCc,0x464ff39dcce5584b:0x272c22266f883093,2822668614929756307,https://serpapi.com/search.json?data_id=0x464ff39dcce5584b%3A0x272c22266f883093&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff39dcce5584b%3A0x272c22266f883093&engine=google_maps_photos&hl=sv,"{'latitude': 57.6960609, 'longitude': 11.992128}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff39dcce5584b%3A0x272c22266f883093%218m2%213d57.6960609%214d11.992128&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.2,238.0,$$$,Ekologisk restaurang,"Liseberg, 412 51 Göteborg, Sverige",Öppet,,,+46 31 40 01 00,https://www.liseberg.se/mat-dryck/lisebergs-wardshus/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipM7cwMmDq0AsLtJ-hXiPV1WAJw66tKnuqNGCZYu=w122-h92-k-no,,,
6,8,Blackstone Steakhouse Linnégatan,ChIJuaJHgzjzT0YRCmh6leR4TjE,0x464ff3388347a2b9:0x314e78e4957a680a,3552910079197603850,https://serpapi.com/search.json?data_id=0x464ff3388347a2b9%3A0x314e78e4957a680a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3388347a2b9%3A0x314e78e4957a680a&engine=google_maps_photos&hl=sv,"{'latitude': 57.695813599999994, 'longitude': 11.951262999999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3388347a2b9%3A0x314e78e4957a680a%218m2%213d57.695813599999994%214d11.951262999999999&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.5,384.0,$$$,Stekhus,"Linnégatan 25, 413 04 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '16–23', 'fredag': '16–23', 'lördag': '15–23', 'söndag': '15–22', 'måndag': '16–23', 'tisdag': '16–23', 'onsdag': '16–23'}",+46 31 12 02 20,https://www.blackstonesteakhouse.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOUFMQoW8RQ2P3PyoSrD83bEu2v1hEK_vOdO6Pi=w122-h92-k-no,,,"""Besöker restaurangen med familjen varav 3 barn i nedre tonåren."""
7,9,Manfred's Brasserie,ChIJ63M-7j_zT0YROovo3bmTCoU,0x464ff33fee3e73eb:0x850a93b9dde88b3a,9586637183312759610,https://serpapi.com/search.json?data_id=0x464ff33fee3e73eb%3A0x850a93b9dde88b3a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff33fee3e73eb%3A0x850a93b9dde88b3a&engine=google_maps_photos&hl=sv,"{'latitude': 57.692499999999995, 'longitude': 11.9488889}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff33fee3e73eb%3A0x850a93b9dde88b3a%218m2%213d57.692499999999995%214d11.9488889&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.6,778.0,$$,Brasserie,"Nordenskiöldsgatan 28, 413 09 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '11–14:30', 'fredag': '11–14:30', 'lördag': '17–23', 'söndag': '13–22', 'måndag': '11–14:30', 'tisdag': '11–14:30', 'onsdag': '11–14:30'}",+46 31 14 45 53,http://manfreds.com/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMNufvxN4SzYD5R3S1bDYqRyYm-BkVVOsly1m27=w122-h92-k-no,,,"""Ett av stadens bästa restauranger."""
8,10,Kuruya - Izakaya Bar,ChIJ4QrcC_zzT0YRFMqHvqGLhRE,0x464ff3fc0bdc0ae1:0x11858ba1be87ca14,1262568797349857812,https://serpapi.com/search.json?data_id=0x464ff3fc0bdc0ae1%3A0x11858ba1be87ca14&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3fc0bdc0ae1%3A0x11858ba1be87ca14&engine=google_maps_photos&hl=sv,"{'latitude': 57.6959436, 'longitude': 11.971872099999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3fc0bdc0ae1%3A0x11858ba1be87ca14%218m2%213d57.6959436%214d11.971872099999999&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.6,130.0,,Japansk restaurang,"Aschebergsgatan 26, 411 33 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–23', 'lördag': '17–23', 'söndag': '17–23', 'måndag': 'Stängt', 'tisdag': 'Stängt', 'onsdag': '17–23'}",+46 31 388 77 48,http://kuruya.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOpQOHVStxyzWNRE-S7fh3MA_5OdYOd3FXV6o4Q=w80-h106-k-no,,,
9,11,Burgersson - Hamburgerrestaurang Göteborg,ChIJbUenCWvzT0YRBfeM7topGRM,0x464ff36b09a7476d:0x131929daee8cf705,1376177181420222213,https://serpapi.com/search.json?data_id=0x464ff36b09a7476d%3A0x131929daee8cf705&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36b09a7476d%3A0x131929daee8cf705&engine=google_maps_photos&hl=sv,"{'latitude': 57.695578999999995, 'longitude': 11.9590558}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36b09a7476d%3A0x131929daee8cf705%218m2%213d57.695578999999995%214d11.9590558&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.0,766.0,$$,Restaurang,"Skanstorget 4, 411 22 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 16:30,Stängt ⋅ Öppnar fre kl. 16:30,"{'torsdag': '16:30–21', 'fredag': '16:30–22', 'lördag': '09–22', 'söndag': '09–20:30', 'måndag': 'Stängt', 'tisdag': '16:30–21', 'onsdag': '11–13:30'}",+46 73 277 22 89,https://www.burgersson.com/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNb7SWP-YBe4I6p6nBTpRBnvSB23fW3oZ7jT6Yv=w122-h92-k-no,,,
10,12,Pivo - Passion för vilt,ChIJsc9yZ3HzT0YRZVtOgBMZ8sA,0x464ff3716772cfb1:0xc0f21913804e5b65,13903202571193834341,https://serpapi.com/search.json?data_id=0x464ff3716772cfb1%3A0xc0f21913804e5b65&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3716772cfb1%3A0xc0f21913804e5b65&engine=google_maps_photos&hl=sv,"{'latitude': 57.696922699999995, 'longitude': 11.9766912}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3716772cfb1%3A0xc0f21913804e5b65%218m2%213d57.696922699999995%214d11.9766912&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.4,585.0,$$,"Kötträtter, restaurang","9B, Arkivgatan 9, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 18 22 39,http://pivo.nu/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOd1jcUeNpUXiEqyMrt28_lG6nKUNxaQWrNqg6G=w92-h92-k-no,,,
11,13,Restaurang Lai Wa,ChIJ9Td17G7zT0YR-TqsDQsyQxw,0x464ff36eec7537f5:0x1c43320b0dac3af9,2036526479557016313,https://serpapi.com/search.json?data_id=0x464ff36eec7537f5%3A0x1c43320b0dac3af9&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36eec7537f5%3A0x1c43320b0dac3af9&engine=google_maps_photos&hl=sv,"{'latitude': 57.6992656, 'longitude': 11.965344}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36eec7537f5%3A0x1c43320b0dac3af9%218m2%213d57.6992656%214d11.965344&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.1,293.0,$$,Restaurang,"Storgatan 11, 411 24 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 15,Stängt ⋅ Öppnar fre kl. 15,"{'torsdag': '15–21', 'fredag': '15–21:30', 'lördag': '12–21:30', 'söndag': '12–21', 'måndag': '15–21', 'tisdag': '15–21', 'onsdag': 'Stängt'}",+46 31 711 02 39,http://www.lai-wa.se/,"{'servering': True, 'hämtning_utanför': True}",https://lh5.googleusercontent.com/p/AF1QipM3RhWl72TiONsZp14IhT9sof6Qo9OqACiBmb_J=w122-h92-k-no,,,
12,14,Che Argento - Restaurang Göteborg,ChIJL1bGltfzT0YR6XKMISCazTU,0x464ff3d796c6562f:0x35cd9a20218c72e9,3876924317028348649,https://serpapi.com/search.json?data_id=0x464ff3d796c6562f%3A0x35cd9a20218c72e9&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3d796c6562f%3A0x35cd9a20218c72e9&engine=google_maps_photos&hl=sv,"{'latitude': 57.6981882, 'longitude': 11.9605052}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3d796c6562f%3A0x35cd9a20218c72e9%218m2%213d57.6981882%214d11.9605052&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.8,93.0,,Restaurang,"Sprängkullsgatan 15 Sweden, 411 23 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 11,Stängt ⋅ Öppnar fre kl. 11,"{'torsdag': '11–18', 'fredag': '11–18', 'lördag': '11–18', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '11–18', 'onsdag': '11–18'}",+46 72 442 84 40,https://cheargento.se/,"{'servering': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipOfLNsG8Zqp539UDDokL7R2UFPc8ea2Uts1vIj2=w122-h92-k-no,,,
13,15,Bistro Odette,ChIJtyViXBXzT0YR11n_uZ6LotU,0x464ff3155c6225b7:0xd5a28b9eb9ff59d7,15394019990147389911,https://serpapi.com/search.json?data_id=0x464ff3155c6225b7%3A0xd5a28b9eb9ff59d7&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3155c6225b7%3A0xd5a28b9eb9ff59d7&engine=google_maps_photos&hl=sv,"{'latitude': 57.691859199999996, 'longitude': 11.950954099999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3155c6225b7%3A0xd5a28b9eb9ff59d7%218m2%213d57.691859199999996%214d11.950954099999999&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.8,145.0,,Bistro,"Olivedalsgatan 14B, 413 10 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '16:30–23', 'fredag': '16:30–23', 'lördag': 'Stängt', 'söndag': 'Stängt', 'måndag': '16:30–23', 'tisdag': '16:30–23', 'onsdag': '16:30–23'}",+46 31 12 53 30,http://www.bistroodette.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipP33elJX5or8Y3wUp9w6sgqFPDxBcrXgAD4WEFb=w122-h92-k-no,,,"""pytteliten och supermysig restaurang med fokus på mat och vin."""
14,16,Masala Curry Indisk Restaurang Göteborg,ChIJ8UXyCLT1T0YRh_Hdh1uuIjo,0x464ff5b408f245f1:0x3a22ae5b87ddf187,4189102311552708999,https://serpapi.com/search.json?data_id=0x464ff5b408f245f1%3A0x3a22ae5b87ddf187&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff5b408f245f1%3A0x3a22ae5b87ddf187&engine=google_maps_photos&hl=sv,"{'latitude': 57.727646899999996, 'longitude': 11.9448344}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff5b408f245f1%3A0x3a22ae5b87ddf187%218m2%213d57.727646899999996%214d11.9448344&engine=google_maps&google_domain=google.se&hl=sv&start=120&type=place,4.3,164.0,,Indisk restaurang,"Nansensgatan 2B, 417 19 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 11,Stängt ⋅ Öppnar fre kl. 11,"{'torsdag': '11–21', 'fredag': '11–21', 'lördag': '13–21', 'söndag': '13–21', 'måndag': '11–21', 'tisdag': '11–21', 'onsdag': '11–21'}",+46 31 718 18 81,http://www.masalacurry.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNZm5npFv7Z3owuU4Nv6iMoH2VvoHIJKxbmAHsp=w138-h92-k-no,,,
